               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12278,            0.023659,                   0,           0.0013889,             0.10526,          0.00078878,          0.00018939,             0.11717,            0.016575,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.11844,            0.024477,                   0,            0.001358,             0.11579,          0.00094334,          0.00026117,             0.11176,            0.017247,                   0,             0.08649,           0.0014901,           0.0014901
                   2,             0.11366,            0.026143,                   0,           0.0022168,                 0.2,           0.0020344,          0.00047812,             0.10782,            0.017513,                   0,             0.07927,           0.0022696,           0.0022696
                   3,             0.10507,            0.026952,                   0,           0.0067549,             0.18947,           0.0046351,            0.001069,               0.096,            0.018066,                   0,            0.072039,           0.0030386,           0.0030386
                   4,            0.098776,            0.029312,                   0,            0.037571,            0.073684,            0.023459,           0.0063383,            0.091666,            0.016909,                   0,            0.064797,            0.003797,            0.003797
                   5,            0.095748,             0.03187,                   0,            0.099761,             0.14737,            0.053107,            0.012218,            0.092801,            0.015485,                   0,            0.057545,           0.0045449,           0.0045449
                   6,            0.090478,            0.028046,                   0,             0.24568,             0.21053,             0.13999,            0.033639,             0.08269,            0.015625,                   0,            0.050282,           0.0052822,           0.0052822
                   7,            0.084929,            0.027761,                   0,             0.34304,             0.27368,             0.26983,            0.082867,            0.078943,             0.01566,                   0,            0.043009,           0.0060089,           0.0060089
                   8,             0.08091,            0.025415,                   0,             0.36262,             0.23158,             0.17714,            0.038699,            0.081104,            0.015045,                   0,            0.035725,           0.0067251,           0.0067251
                   9,            0.080108,            0.025791,                   0,             0.20348,             0.43295,             0.15471,            0.034525,            0.091919,            0.013783,                   0,            0.028431,           0.0074307,           0.0074307
                  10,            0.078992,            0.023063,                   0,             0.36372,             0.41053,             0.32214,            0.086469,             0.08206,            0.013427,                   0,            0.021126,           0.0081258,           0.0081258
                  11,            0.081133,             0.02374,                   0,             0.41501,             0.22105,             0.22428,            0.053681,             0.07315,            0.013236,                   0,             0.01381,           0.0088103,           0.0088103
                  12,            0.074693,            0.024343,                   0,             0.32581,             0.51579,              0.3371,            0.099971,             0.07497,             0.01213,                   0,            0.009208,            0.009208,            0.009208
                  13,            0.074548,            0.023911,                   0,             0.35792,             0.53684,             0.32759,            0.074918,            0.077981,            0.011419,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.071987,            0.021821,                   0,             0.54379,             0.55789,             0.54752,              0.1649,            0.074644,              0.0115,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.069039,            0.023394,                   0,              0.6211,             0.58669,             0.58758,              0.2198,             0.06866,            0.011993,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.067594,            0.021238,                   0,             0.53832,             0.61053,             0.51113,             0.14712,             0.06608,            0.012267,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.064311,            0.022227,                   0,             0.70441,             0.70526,             0.63747,             0.19669,            0.064234,             0.01168,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.064166,            0.020321,                   0,             0.68388,             0.64211,             0.58186,             0.16792,            0.063414,              0.0113,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.059954,            0.024306,                   0,             0.67176,             0.64631,             0.61872,              0.1913,            0.061966,             0.01163,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.062861,            0.021459,                   0,              0.7111,             0.62183,             0.62568,             0.21473,            0.055811,             0.01167,                   0,            0.008746,            0.008746,            0.008746
                  21,             0.05834,            0.021667,                   0,             0.67112,             0.66316,             0.67428,             0.24582,            0.056297,            0.010842,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.057068,            0.018192,                   0,             0.70915,             0.71579,             0.74177,             0.29598,            0.056953,            0.010425,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.056333,            0.019652,                   0,             0.50232,             0.70124,             0.55127,             0.20168,             0.05924,            0.010246,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.053281,            0.019282,                   0,             0.81102,             0.72284,             0.78405,             0.31675,            0.055663,           0.0098599,                   0,            0.008482,            0.008482,            0.008482
                  25,             0.05337,            0.018314,                   0,             0.77238,             0.70526,             0.77141,             0.33197,            0.052286,           0.0096791,                   0,            0.008416,            0.008416,            0.008416
                  26,             0.05414,            0.018222,                   0,             0.77037,             0.67097,             0.75151,             0.27028,            0.059937,           0.0097555,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.051454,            0.017629,                   0,             0.67734,             0.75135,             0.74384,             0.30581,            0.056899,            0.009584,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.048543,            0.017774,                   0,             0.71666,             0.77215,             0.75339,             0.33157,            0.053816,           0.0095596,                   0,            0.008218,            0.008218,            0.008218
                  29,             0.04946,            0.018168,                   0,             0.70546,             0.70593,             0.76597,             0.30241,            0.053723,           0.0098159,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.051731,            0.018806,                   0,             0.79804,             0.74869,             0.80327,             0.37495,            0.051117,           0.0096498,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.048171,            0.017492,                   0,               0.783,             0.76842,             0.79167,             0.38327,            0.050749,           0.0095036,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.046011,            0.016656,                   0,             0.70433,             0.76842,              0.7843,             0.37919,            0.049739,           0.0095225,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.046581,             0.01875,                   0,             0.78795,              0.7432,             0.79499,             0.38338,            0.050643,           0.0097554,                   0,            0.007888,            0.007888,            0.007888
                  34,             0.04646,            0.016724,                   0,             0.76673,             0.81053,             0.82071,             0.40093,             0.05167,           0.0096065,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.046387,            0.017422,                   0,             0.74555,             0.74737,             0.74835,             0.35496,             0.05605,           0.0095522,                   0,            0.007756,            0.007756,            0.007756
                  36,             0.04436,            0.015508,                   0,             0.79304,             0.76842,             0.81811,             0.41298,            0.044231,           0.0094824,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.042001,             0.01578,                   0,             0.79948,             0.75547,              0.8133,               0.431,            0.043286,           0.0092733,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.041181,            0.016204,                   0,              0.7876,             0.78066,             0.82333,             0.41103,            0.052944,           0.0095364,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.046704,            0.017006,                   0,             0.82119,             0.75789,             0.82919,             0.43715,             0.04764,           0.0094484,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.042833,            0.015914,                   0,              0.8477,             0.75789,               0.837,             0.44062,            0.045368,           0.0091085,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.041162,            0.014496,                   0,             0.80659,             0.78947,             0.83872,             0.45397,            0.044573,           0.0093812,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.040963,            0.016783,                   0,              0.8098,             0.77895,             0.84023,             0.43721,            0.045603,           0.0098317,                   0,            0.007294,            0.007294,            0.007294
                  43,             0.04101,            0.015493,                   0,             0.86808,             0.76197,              0.8443,             0.42727,            0.047866,             0.00979,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.040752,             0.01524,                   0,             0.76223,             0.74241,             0.79104,             0.42164,            0.046286,           0.0098753,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.039456,            0.015723,                   0,             0.82746,             0.75789,             0.83813,             0.42984,            0.043187,            0.009748,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.038691,            0.015379,                   0,              0.8881,             0.73684,             0.83213,             0.44733,            0.041142,           0.0097472,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.038936,            0.016214,                   0,              0.8661,             0.75789,             0.83351,             0.41859,            0.041514,           0.0097386,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.038867,            0.015116,                   0,             0.88606,             0.73672,               0.814,             0.39551,            0.038469,           0.0098247,                   0,            0.006898,            0.006898,            0.006898
                  49,             0.03971,            0.016168,                   0,             0.88102,             0.72632,             0.81287,             0.39625,             0.03834,           0.0099442,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.037643,            0.013468,                   0,              0.8822,             0.78836,             0.82733,             0.38422,            0.044354,            0.010137,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.038247,            0.016185,                   0,             0.85717,             0.75789,             0.83723,             0.40809,            0.039929,            0.010023,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.036554,            0.016159,                   0,             0.80343,             0.76842,             0.81034,             0.38933,            0.039179,           0.0097907,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.039012,            0.014367,                   0,             0.82626,             0.76842,             0.82804,             0.42708,            0.039351,           0.0095106,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.038513,            0.014379,                   0,             0.86988,              0.7741,             0.83445,             0.43566,            0.037279,           0.0093616,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.036836,            0.015415,                   0,              0.8852,             0.77895,             0.85776,             0.44246,            0.039708,           0.0096347,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.035416,             0.01347,                   0,             0.77356,             0.85263,             0.85581,             0.44635,            0.039715,           0.0093296,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.035744,            0.015032,                   0,             0.78541,             0.86316,             0.85733,             0.43223,            0.041177,           0.0094771,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.035259,            0.013518,                   0,             0.77161,             0.85353,             0.85527,             0.47212,            0.039746,           0.0094034,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.037172,            0.014099,                   0,             0.86016,             0.73684,             0.84218,             0.45321,            0.036086,           0.0095293,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.035403,            0.013628,                   0,              0.8552,             0.73684,             0.83467,             0.44635,            0.037051,           0.0095886,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.034715,            0.012765,                   0,             0.85037,             0.74737,               0.825,             0.45237,            0.038952,           0.0093956,                   0,             0.00604,             0.00604,             0.00604
                  62,             0.03471,            0.012744,                   0,             0.85795,             0.76296,             0.83552,             0.46217,            0.039503,           0.0096942,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.038378,             0.01398,                   0,             0.86549,             0.74504,             0.82004,             0.42523,            0.040181,           0.0093498,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.033918,            0.013487,                   0,             0.86737,             0.75726,             0.83878,             0.44775,            0.040384,           0.0089909,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.032938,            0.013352,                   0,             0.88018,              0.7733,             0.84977,             0.45225,            0.038737,           0.0089692,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.035044,            0.012869,                   0,             0.84003,             0.77388,             0.83317,             0.45299,            0.039755,           0.0091504,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.032729,            0.013789,                   0,              0.8186,             0.78947,             0.82174,             0.43975,             0.03681,           0.0089969,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.033512,            0.013477,                   0,             0.81855,             0.80727,             0.81966,             0.43487,            0.038315,            0.009139,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.031168,            0.012156,                   0,             0.80781,             0.78947,             0.81635,              0.4197,            0.038228,           0.0091274,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.033379,            0.012946,                   0,             0.85337,             0.73513,             0.80264,             0.43402,            0.039588,           0.0093099,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.033311,            0.013556,                   0,             0.89584,             0.71579,             0.81588,             0.45245,            0.040695,           0.0094565,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.032679,            0.013974,                   0,             0.81627,             0.77895,             0.81677,             0.45324,            0.038035,           0.0093157,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.032857,            0.013058,                   0,             0.87254,             0.71579,             0.80596,              0.4427,            0.035657,           0.0092067,                   0,            0.005248,            0.005248,            0.005248
